name,status,idx,group,country,link
T-72B,destroyed,1,Tanks,RUS,https://i.postimg.cc/PqJmywns/890.png
T-72B,abandoned,2,Tanks,RUS,https://i.postimg.cc/1tvs3GFY/470.png
T-72B,abandoned,3,Tanks,RUS,https://i.postimg.cc/sfLpFS54/4566.png
T-72B,abandoned,4,Tanks,RUS,https://i.postimg.cc/8zz8WcH7/763.png
T-72B Obr. 1989,abandoned,1,Tanks,RUS,https://i.postimg.cc/rsFyfrR7/h8.png
T-72B Obr. 1989,captured,2,Tanks,RUS,https://i.postimg.cc/NM8vPWBX/669.png
T-72B3,destroyed,1,Tanks,RUS,https://i.postimg.cc/Xqy5KYn3/55u.png
T-72B3,damaged,2,Tanks,RUS,https://i.postimg.cc/zfTsVnsF/579.png 
T-72B3M,destroyed,1,Tanks,RUS,https://i.postimg.cc/hGdX1BWT/346.png
T-72B3M,destroyed,2,Tanks,RUS,https://i.postimg.cc/ZnNgPmr9/3322.png
T-72B3M,destroyed,3,Tanks,RUS,https://i.postimg.cc/ZnNgPmr9/3322.png
T-72B3M,abandoned,4,Tanks,RUS,https://i.postimg.cc/cCWG66n9/557.png
T-72B3M,abandoned,5,Tanks,RUS,https://i.postimg.cc/Tw9Gx7vp/6682.png
T-72B3M,captured,6,Tanks,RUS,https://i.postimg.cc/Rhx51CZ2/7799.png 
T-72B3M,captured,7,Tanks,RUS,https://i.postimg.cc/nr9T81zN/77644.png
T-80BV,captured,1,Tanks,RUS,https://i.postimg.cc/63bVWQwX/470.png
T-80BV,captured,2,Tanks,RUS,https://i.postimg.cc/1zNj1Pjv/44355.png
T-80BV,captured,3,Tanks,RUS,https://i.postimg.cc/1zNj1Pjv/44355.png
T-80U,abandoned,1,Tanks,RUS,https://i.postimg.cc/3JSSydML/g43.png
T-80U,abandoned,2,Tanks,RUS,https://i.postimg.cc/3JSSydML/g43.png
T-80U,captured,3,Tanks,RUS,https://i.postimg.cc/7LFzTNhH/5466.png
T-80U,captured,4,Tanks,RUS,https://i.postimg.cc/cJVPv63q/4432.png
T-80UD,captured,1,Tanks,RUS,https://i.postimg.cc/wvpsxc0S/33555.png
T-80BVM,destroyed,1,Tanks,RUS,https://i.postimg.cc/2y474krg/336.png
T-90A,destroyed,1,Tanks,RUS,https://i.postimg.cc/R0vMN6Q3/546.png 
T-90A,destroyed,2,Tanks,RUS,https://i.postimg.cc/nM8jX4k8/5422.png
T-90A,abandoned,3,Tanks,RUS,https://i.postimg.cc/GtnT2PKW/Screenshot-8353.png
MT-LB,destroyed,1,Armoured Fighting Vehicles,RUS,https://i.postimg.cc/2SJG2hyJ/9po.png
MT-LB,destroyed,2,Armoured Fighting Vehicles,RUS,https://i.postimg.cc/0QPGdgX4/6658.png
MT-LB,destroyed,3,Armoured Fighting Vehicles,RUS,https://i.postimg.cc/XvpJbF2W/k9.png
MT-LB,abandoned,4,Armoured Fighting Vehicles,RUS,https://i.postimg.cc/GpG26n3R/446.png
MT-LB,captured,5,Armoured Fighting Vehicles,RUS,https://i.postimg.cc/P5M1XV5z/58.png
MT-LB,captured,6,Armoured Fighting Vehicles,RUS,https://i.postimg.cc/hjqg1p15/680.png
MT-LB,captured,7,Armoured Fighting Vehicles,RUS,https://i.postimg.cc/R0zbsmLL/6659.png
MT-LB,captured,8,Armoured Fighting Vehicles,RUS,https://i.postimg.cc/MGBV9R2s/4fs.png
MT-LB,captured,9,Armoured Fighting Vehicles,RUS,https://i.postimg.cc/1tVLvyy0/764.png
MT-LB with ZU-23 AA gun,destroyed,1,Armoured Fighting Vehicles,RUS,https://postimg.cc/kVDPCNz0
MT-LBu,captured,1,Armoured Fighting Vehicles,RUS,https://i.postimg.cc/pV5ZRVDR/5548.png  
