name,status,idx,group,country,link
T-80BVM,destroyed,1,Tanks,RUS,https://i.postimg.cc/2y474krg/336.png
MT-LB,destroyed,1,Armoured Fighting Vehicles,RUS,https://i.postimg.cc/0QPGdgX4/6658.png
MT-LB,captured,2,Armoured Fighting Vehicles,RUS,https://i.postimg.cc/P5M1XV5z/58.png
MT-LB,captured,3,Armoured Fighting Vehicles,RUS,https://i.postimg.cc/hjqg1p15/680.png
MT-LB with ZU-23 AA gun,destroyed,1,Armoured Fighting Vehicles,RUS,https://postimg.cc/kVDPCNz0
9P149 Shturm-S ATGM carrier,destroyed,1,Armoured Fighting Vehicles,RUS,https://i.postimg.cc/DwY6rjLd/659.png
BMP-2,captured,1,Infantry Fighting Vehicles,RUS,https://i.postimg.cc/T1HJcX0f/776.png
KamAZ-63968 Typhoon,captured,1,Mine-resistant ambush protected,RUS,https://i.postimg.cc/D0LLthjn/663.png
GAZ Tigr-M,destroyed,1,Infantry Mobility Vehicles,RUS,https://i.postimg.cc/W1VpzFcv/5578.png
GAZ Tigr-M,damaged,2,Infantry Mobility Vehicles,RUS,https://i.postimg.cc/ZKDrDbck/85.png
IMR-2 combat engineering vehicle,destroyed,1,Engineering Vehicles,RUS,https://i.postimg.cc/xdbysNZ7/5548.png
TMM-3 bridge layer,captured,1,Engineering Vehicles,RUS,https://i.postimg.cc/FRhY7mzP/75.png
KamAZ-5350 with EOV-3523 excavator,captured,1,Engineering Vehicles,RUS,https://i.postimg.cc/bvhJB8xz/774.png
Tor-M2,destroyed,1,Surface-to-air missile systems,RUS,https://i.postimg.cc/5tS4wn32/578.png
Su-25 strike aircraft,destroyed,1,Aircraft,RUS,https://tass.ru/armiya-i-opk/13840645
An-26 transport aircraft,destroyed,1,Aircraft,RUS,https://i.postimg.cc/R0ppMFNQ/448.png
Ka-52 'Alligator',destroyed,1,Helicopters,RUS,https://i.postimg.cc/PJGKCtCv/658.png
Ka-52 'Alligator',damaged,2,Helicopters,RUS,https://i.postimg.cc/kXX8gFLx/769.png
